# Atomic number Z= 29  Date:21-11-2022

# Register Shelli	2Ji		Eigi	 ---> 	 Shellf		2Jf		Eigf	Energy(eV)			Rate(s-1)		Width(eV)
	1  	   K1	    0	     1		 ---> 	   K1	    2	     1		9.16684215679E-02 	6.89312E-06    	2.850765370865152e-20
	2  	   K1	    0	     1		 ---> 	   L1	    0	     1		0                 	0              	0.0            
	3  	   K1	    0	     1		 ---> 	   L1	    2	     1		7.87978103600E+03 	7.60876E+08    	3.1467302938616955e-06
	4  	   K1	    0	     1		 ---> 	   L2	    2	     2		8.02713932955E+03 	3.17787E+14    	1.3142614301087518
	5  	   K1	    0	     1		 ---> 	   L2	    0	     1		0                 	0              	0.0            
	6  	   K1	    0	     1		 ---> 	   L3	    2	     1		8.04716539661E+03 	6.13109E+14    	2.5356150854268638
	7  	   K1	    0	     1		 ---> 	   L3	    4	     1		8.04724819724E+03 	2.85590E+10    	0.00011811053373006399
	8  	   K1	    0	     1		 ---> 	   M1	    0	     1		0                 	0              	0.0            
	9  	   K1	    0	     1		 ---> 	   M1	    2	     1		8.85417267627E+03 	1.24290E+06    	5.1402213793584e-09
	10 	   K1	    0	     1		 ---> 	   M2	    2	     2		8.90035901729E+03 	4.89097E+13    	0.20227426631105117
	11 	   K1	    0	     1		 ---> 	   M2	    0	     1		0                 	0              	0.0            
	12 	   K1	    0	     1		 ---> 	   M3	    2	     1		8.90277184141E+03 	7.07463E+13    	0.2925831875215248
	13 	   K1	    0	     1		 ---> 	   M3	    4	     1		8.90301672937E+03 	4.47574E+09    	1.8510173333695037e-05
	14 	   K1	    0	     1		 ---> 	   M4	    4	     2		8.97813862263E+03 	9.61913E+11    	0.003978152520462448
	15 	   K1	    0	     1		 ---> 	   M4	    2	     1		8.97849574861E+03 	2.67437E+07    	1.1060305616151519e-07
	16 	   K1	    0	     1		 ---> 	   M5	    4	     1		8.97862452352E+03 	6.96328E+10    	0.00028797812154202876
	17 	   K1	    0	     1		 ---> 	   M5	    6	     1		8.97874380875E+03 	5.02671E+07    	2.0788802164160158e-07
	18 	   K1	    0	     1		 ---> 	   N1	    0	     1		0                 	0              	0.0            
	19 	   K1	    2	     1		 ---> 	   L1	    0	     1		7.87953768875E+03 	2.58949E+08    	1.0709270142115039e-06
