# Atomic number Z= 29  Date:21-11-2022

# Register Shelli	2Ji		Eigi	 ---> 	 Shellf		2Jf		Eigf	Energy(eV)			Rate(s-1)		Width(eV)
	1  	 K1K1	    1	     1		 ---> 	 K1L1	    1	     2		8.20957736577E+03 	3.73834E+09    	1.5460531974664638e-05
	2  	 K1K1	    1	     1		 ---> 	 K1L1	    1	     1		8.21383731499E+03 	5.21645E+08    	2.1573503752799198e-06
	3  	 K1K1	    1	     1		 ---> 	 K1L1	    3	     1		8.21404584853E+03 	1.04107E+09    	4.305519568274719e-06
	4  	 K1K1	    1	     1		 ---> 	 K1L2	    1	     3		8.32914790491E+03 	5.21480E+14    	2.15666799011008
	5  	 K1K1	    1	     1		 ---> 	 K1L2	    3	     3		8.32958366454E+03 	1.06343E+15    	4.397993097957279
	6  	 K1K1	    1	     1		 ---> 	 K1L2	    1	     2		8.33780754458E+03 	3.89233E+10    	0.00016097383443171678
	7  	 K1K1	    1	     1		 ---> 	 K1L3	    1	     1		8.35276727378E+03 	1.69699E+14    	0.7018186723435039
	8  	 K1K1	    1	     1		 ---> 	 K1L3	    3	     2		8.35290286622E+03 	3.40398E+14    	1.407773012383008
	9  	 K1K1	    1	     1		 ---> 	 K1L3	    3	     1		8.36260172994E+03 	2.75101E+10    	0.00011377263188372959
	10 	 K1K1	    1	     1		 ---> 	 K1L3	    5	     1		8.36282249294E+03 	4.10330E+10    	0.000169698852569968
	11 	 K1K1	    1	     1		 ---> 	 K1M1	    1	     2		9.23593011245E+03 	6.65340E+08    	2.7516251448566398e-06
	12 	 K1K1	    1	     1		 ---> 	 K1M1	    1	     1		9.23748905641E+03 	4.48589E+07    	1.8552150360809438e-07
	13 	 K1K1	    1	     1		 ---> 	 K1M1	    3	     1		9.23768132679E+03 	2.12887E+08    	8.804298887983519e-07
	14 	 K1K1	    1	     1		 ---> 	 K1M2	    3	     3		9.28158812389E+03 	1.44439E+14    	0.597351706342544
	15 	 K1K1	    1	     1		 ---> 	 K1M2	    1	     3		9.28166532260E+03 	6.32606E+13    	0.2616248198495776
	16 	 K1K1	    1	     1		 ---> 	 K1M2	    1	     2		9.28247056352E+03 	2.25420E+13    	0.09322622120323198
	17 	 K1K1	    1	     1		 ---> 	 K1M3	    1	     1		9.28435573207E+03 	2.80507E+13    	0.11600837384018718
	18 	 K1K1	    1	     1		 ---> 	 K1M3	    3	     2		9.28467504911E+03 	4.89239E+13    	0.20233299279233438
	19 	 K1K1	    1	     1		 ---> 	 K1M3	    3	     1		9.28510818098E+03 	2.97142E+13    	0.1228880570524832
	20 	 K1K1	    1	     1		 ---> 	 K1M3	    5	     1		9.28595440127E+03 	6.94275E+09    	2.8712906896403998e-05
	21 	 K1K1	    1	     1		 ---> 	 K1M4	    3	     3		9.36621004003E+03 	3.99214E+11    	0.0016510164435909439
	22 	 K1K1	    1	     1		 ---> 	 K1M4	    5	     3		9.36628823208E+03 	3.92179E+11    	0.0016219220213495838
	23 	 K1K1	    1	     1		 ---> 	 K1M4	    5	     2		9.36640439266E+03 	2.60652E+11    	0.0010779700562977919
	24 	 K1K1	    1	     1		 ---> 	 K1M4	    3	     2		9.36652668848E+03 	2.30007E+11    	0.0009512325197538719
	25 	 K1K1	    1	     1		 ---> 	 K1M4	    1	     1		9.36664348218E+03 	3.88559E+05    	1.6069509042900639e-09
