c,Configuration,2JJ,Eingenvalue number,Energy,Nec En
1s_1s,(1s)0 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 ,1,0,-26583.68393,18378.14604
1s_2s,(1s)1 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 ,1,0,-34797.51552,10164.31445
1s_2s,(1s)1 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 ,1,1,-34793.77194,10168.05803
1s_2s,(1s)1 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 ,3,0,-34797.72373,10164.10624
1s_2p,(1s)1 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,1,0,-34936.43941,10025.39056
1s_2p,(1s)1 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,1,1,-34921.48185,10040.34812
1s_2p,(1s)1 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,1,2,-34912.82036,10049.00961
1s_2p,(1s)1 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,3,0,-34946.27343,10015.55654
1s_2p,(1s)1 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,3,1,-34936.5752,10025.25477
1s_2p,(1s)1 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,3,2,-34913.25248,10048.57749
1s_2p,(1s)1 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,5,0,-34946.49393,10015.33604
1s_3s,(1s)1 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 ,1,0,-35821.15899,9140.67098
1s_3s,(1s)1 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 ,1,1,-35819.60644,9142.22353
1s_3s,(1s)1 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 ,3,0,-35821.35164,9140.47833
1s_3p,(1s)1 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,1,0,-35868.02444,9093.80553
1s_3p,(1s)1 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,1,1,-35866.13698,9095.69299
1s_3p,(1s)1 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,1,2,-35865.3351,9096.49487
1s_3p,(1s)1 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,3,0,-35868.77737,9093.0526
1s_3p,(1s)1 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,3,1,-35868.34489,9093.48508
1s_3p,(1s)1 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,3,2,-35865.25638,9096.57359
1s_3p,(1s)1 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,5,0,-35869.62379,9092.20618
1s_3d,(1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,1,0,-35950.31197,9011.518
1s_3d,(1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,3,0,-35950.46718,9011.36279
1s_3d,(1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,3,1,-35950.19391,9011.63606
1s_3d,(1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,3,2,-35949.87913,9011.95084
1s_3d,(1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,5,0,-35950.58292,9011.24705
1s_3d,(1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,5,1,-35950.06739,9011.76258
1s_3d,(1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,5,2,-35949.95741,9011.87256
1s_3d,(1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,7,0,-35950.6929,9011.13707
1s_4s,(1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)0 ,1,0,-35959.28249,9002.54748
2s_2s,(1s)2 (2s)0 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1 ,1,0,-42693.05841,2268.77156
2s_2p,(1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,1,0,-42866.36483,2095.46514
2s_2p,(1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,1,1,-42857.03871,2104.79126
2s_2p,(1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,1,2,-42825.49751,2136.33246
2s_2p,(1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,3,0,-42877.67415,2084.15582
2s_2p,(1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,3,1,-42866.4514,2095.37857
2s_2p,(1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,3,2,-42825.54539,2136.28458
2s_2p,(1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 ,5,0,-42877.88218,2083.94779
2s_3s,(1s)2 (2s)1 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 ,1,0,-43705.073,1256.75697
2s_3s,(1s)2 (2s)1 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 ,1,1,-43704.02917,1257.8008
2s_3s,(1s)2 (2s)1 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 ,3,0,-43705.2695,1256.56047
2s_3p,(1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,1,0,-43750.87616,1210.95381
2s_3p,(1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,1,1,-43749.18923,1212.64074
2s_3p,(1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,1,2,-43748.36343,1213.46654
2s_3p,(1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,3,0,-43751.54584,1210.28413
2s_3p,(1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,3,1,-43751.16187,1210.6681
2s_3p,(1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,3,2,-43748.29691,1213.53306
2s_3p,(1s)2 (2s)1 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 ,5,0,-43752.19551,1209.63446
2s_3d,(1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,1,0,-43829.92136,1131.90861
2s_3d,(1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,3,0,-43830.00849,1131.82148
2s_3d,(1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,3,1,-43829.43598,1132.39399
2s_3d,(1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,3,2,-43827.46005,1134.36992
2s_3d,(1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,5,0,-43830.13301,1131.69696
2s_3d,(1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,5,1,-43829.68327,1132.1467
2s_3d,(1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,5,2,-43827.44093,1134.38904
2s_3d,(1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)9 (4s)1 ,7,0,-43830.27672,1131.55325
2s_4s,(1s)2 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)0 ,1,0,-43839.18901,1122.64096
2p_2p,(1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1 ,1,0,-43011.49524,1950.33473
2p_2p,(1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1 ,1,1,-43006.66371,1955.16626
2p_2p,(1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1 ,1,2,-42967.1258,1994.70417
2p_2p,(1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1 ,3,0,-43024.66168,1937.16829
2p_2p,(1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1 ,3,1,-43006.79976,1955.03021
2p_2p,(1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1 ,3,2,-42996.1958,1965.63417
2p_2p,(1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1 ,5,0,-43024.85637,1936.9736
2p_2p,(1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1 ,5,1,-42996.22789,1965.60208
2p_3s,(1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1 ,1,0,-43868.6519,1093.17807
2p_3s,(1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1 ,1,1,-43850.28793,1111.54204
2p_3s,(1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1 ,1,2,-43849.16121,1112.66876
2p_3s,(1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1 ,3,0,-43870.29486,1091.53511
2p_3s,(1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1 ,3,1,-43868.58515,1093.24482
2p_3s,(1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1 ,3,2,-43849.33959,1112.49038
2p_3s,(1s)2 (2s)2 (2p)5 (3s)1 (3p)6 (3d)10 (4s)1 ,5,0,-43870.45304,1091.37693
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,1,0,-43921.7998,1040.03017
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,1,1,-43915.7937,1046.03627
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,1,2,-43919.19806,1042.63191
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,1,3,-43899.16085,1062.66912
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,1,4,-43898.12386,1063.70611
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,1,5,-43891.39296,1070.43701
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,3,0,-43921.86086,1039.96911
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,3,1,-43916.5385,1045.29147
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,3,2,-43916.03382,1045.79615
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,3,3,-43898.97391,1062.85606
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,3,4,-43898.9905,1062.83947
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,3,5,-43898.4941,1063.33587
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,3,6,-43897.11763,1064.71234
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,5,0,-43921.36025,1040.46972
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,5,1,-43916.73843,1045.09154
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,5,2,-43915.39501,1046.43496
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,5,3,-43897.412,1064.41797
2p_3p,(1s)2 (2s)2 (2p)5 (3s)2 (3p)5 (3d)10 (4s)1 ,7,0,-43921.76045,1040.06952
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,1,0,-43996.07991,965.75006
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,1,1,-43995.61266,966.21731
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,1,2,-43994.38544,967.44453
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,1,3,-43975.2644,986.56557
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,3,0,-43998.60133,963.22864
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,3,1,-43996.54346,965.28651
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,3,2,-43995.96404,965.86593
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,3,3,-43994.51175,967.31822
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,3,4,-43978.36423,983.46574
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,3,5,-43976.65918,985.17079
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,3,6,-43975.06705,986.76292
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,5,0,-43998.55802,963.27195
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,5,1,-43997.42741,964.40256
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,5,2,-43996.67386,965.15611
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,5,3,-43994.82458,967.00539
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,5,4,-43978.15947,983.6705
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,5,5,-43976.95857,984.8714
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,5,6,-43975.92756,985.90241
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,7,0,-43998.50563,963.32434
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,7,1,-43997.65021,964.17976
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,7,2,-43994.82773,967.00224
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,7,3,-43976.19634,985.63363
2p_3d,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)9 (4s)1 ,9,0,-43998.85658,962.97339
2p_4s,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)0 ,1,0,-43986.55705,975.27292
2p_4s,(1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)0 ,3,0,-44006.62205,955.20792
3s_3s,(1s)2 (2s)2 (2p)6 (3s)0 (3p)6 (3d)10 (4s)1 ,1,0,-44676.86689,284.96308
3s_3p,(1s)2 (2s)2 (2p)6 (3s)1 (3p)5 (3d)10 (4s)1 ,1,0,-44732.21216,229.61781
3s_3p,(1s)2 (2s)2 (2p)6 (3s)1 (3p)5 (3d)10 (4s)1 ,1,1,-44731.31626,230.51371
3s_3p,(1s)2 (2s)2 (2p)6 (3s)1 (3p)5 (3d)10 (4s)1 ,1,2,-44717.78789,244.04208
3s_3p,(1s)2 (2s)2 (2p)6 (3s)1 (3p)5 (3d)10 (4s)1 ,3,0,-44733.70124,228.12873
3s_3p,(1s)2 (2s)2 (2p)6 (3s)1 (3p)5 (3d)10 (4s)1 ,3,1,-44732.40024,229.42973
3s_3p,(1s)2 (2s)2 (2p)6 (3s)1 (3p)5 (3d)10 (4s)1 ,3,2,-44717.62801,244.20196
3s_3p,(1s)2 (2s)2 (2p)6 (3s)1 (3p)5 (3d)10 (4s)1 ,5,0,-44734.1342,227.69577
3s_3d,(1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)9 (4s)1 ,1,0,-44806.46243,155.36754
3s_3d,(1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)9 (4s)1 ,3,0,-44806.52359,155.30638
3s_3d,(1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)9 (4s)1 ,3,1,-44805.90794,155.92203
3s_3d,(1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)9 (4s)1 ,3,2,-44800.90445,160.92552
3s_3d,(1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)9 (4s)1 ,5,0,-44806.6196,155.21037
3s_3d,(1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)9 (4s)1 ,5,1,-44806.0963,155.73367
