Transition register 	 shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 shell FS 	 FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 rate [s-1]	 total rate 	 branching ratio
0 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2s 	 (1s)2 (2s)0 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 1 	 1s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 6.7172535E+03	9.5537810E+13	1253600893593109	0.0762107
1 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 3 	 2p*1 2p4 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 57.58811 	 6.8496926E+03	8.4381072E+13	1253600893593109	0.067311
2 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 3 	 2p*1 2p4 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 57.37851 	 6.8497405E+03	1.0936905E+14	1253600893593109	0.0872439
3 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 2 	 2p*1 2p4 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 99.99005 	 6.8812338E+03	1.3071727E+13	1253600893593109	0.0104273
4 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 1 	 2p*2 2p3 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 57.57498 	 6.8905599E+03	5.1414466E+12	1253600893593109	0.00410134
5 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 2 	 2p*2 2p3 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 57.38100 	 6.8906465E+03	3.4511386E+13	1253600893593109	0.0275298
6 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 1 	 2p*2 2p3 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 99.99724 	 6.9018692E+03	3.7025713E+13	1253600893593109	0.0295355
7 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 5 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p3 3p*2 3p4 3d*4 3d6  	 100 	 6.9020772E+03	2.0314705E+10	1253600893593109	1.62051e-05
8 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 3 	 2p4 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 83.11485 	 6.9913209E+03	3.8881273E+13	1253600893593109	0.0310157
9 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 3 	 2p*1 2p3 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 94.34573 	 7.0203909E+03	2.0597797E+14	1253600893593109	0.164309
